Epoch,MSE_对数空间,MSE_原始空间
1,11.57971037089461,38516802.89166994
2,2.3214531389890483,29202484.843477525
3,0.6918122195082574,17700599.14180513
4,0.4028711353073966,11631079.78024256
5,0.35104499122774224,9262616.099069897
6,0.34156353201273876,8378391.471371237
7,0.33977229159617944,8040767.582412801
8,0.33941895997560856,7909354.1619021455
9,0.33934697118372265,7857935.418171168
10,0.3393331229800207,7837933.1626879675
11,0.33933161908861104,7830266.002411804
12,0.339332451063138,7827398.258213651
13,0.3393334088737158,7826366.586077732
14,0.33933409378076396,7826018.88290396
15,0.3393345193106006,7825915.514258706
16,0.33933476661912165,7825893.4479054315
17,0.3393349048751497,7825894.888913713
18,0.33933498023821956,7825900.875248919
19,0.33933502060231113,7825906.09671745
20,0.33933504194621006,7825909.652860529
21,0.3393350531246868,7825911.833204027
22,0.3393350589362601,7825913.095093954
23,0.3393350619403416,7825913.79960506
24,0.33933506348616954,7825914.183504845
25,0.33933506427874577,7825914.389128434
26,0.33933506468393637,7825914.49787872
27,0.33933506489059684,7825914.554847586
28,0.3393350649957994,7825914.584471813
29,0.3393350650492703,7825914.599788247
30,0.33933506507641314,7825914.607671225
31,0.33933506509017686,7825914.611713606
32,0.3393350650971503,7825914.613780535
33,0.33933506510068084,7825914.614834887
34,0.33933506510246736,7825914.615371643
35,0.33933506510337086,7825914.615644561
36,0.33933506510382755,7825914.615783027
37,0.33933506510405836,7825914.615853281
38,0.339335065104175,7825914.615888872
39,0.33933506510423384,7825914.615906845
40,0.33933506510426364,7825914.61591601
41,0.3393350651042787,7825914.615920656
42,0.33933506510428624,7825914.61592299
43,0.33933506510429,7825914.615924127
44,0.33933506510429207,7825914.615924704
45,0.339335065104293,7825914.615925055
46,0.33933506510429357,7825914.615925221
47,0.3393350651042937,7825914.615925265
48,0.3393350651042939,7825914.615925303
49,0.33933506510429395,7825914.615925332
50,0.339335065104294,7825914.615925339
51,0.339335065104294,7825914.61592536
52,0.339335065104294,7825914.61592536
53,0.339335065104294,7825914.61592536
54,0.339335065104294,7825914.61592536
55,0.339335065104294,7825914.61592536
56,0.339335065104294,7825914.61592536
57,0.339335065104294,7825914.61592536
58,0.339335065104294,7825914.61592536
59,0.339335065104294,7825914.61592536
60,0.339335065104294,7825914.61592536
61,0.339335065104294,7825914.61592536
62,0.339335065104294,7825914.61592536
63,0.339335065104294,7825914.61592536
64,0.339335065104294,7825914.61592536
65,0.339335065104294,7825914.61592536
66,0.339335065104294,7825914.61592536
67,0.339335065104294,7825914.61592536
68,0.339335065104294,7825914.61592536
69,0.339335065104294,7825914.61592536
70,0.339335065104294,7825914.61592536
71,0.339335065104294,7825914.61592536
72,0.339335065104294,7825914.61592536
73,0.339335065104294,7825914.61592536
74,0.339335065104294,7825914.61592536
75,0.339335065104294,7825914.61592536
76,0.339335065104294,7825914.61592536
77,0.339335065104294,7825914.61592536
78,0.339335065104294,7825914.61592536
79,0.339335065104294,7825914.61592536
80,0.339335065104294,7825914.61592536
81,0.339335065104294,7825914.61592536
82,0.339335065104294,7825914.61592536
83,0.339335065104294,7825914.61592536
84,0.339335065104294,7825914.61592536
85,0.339335065104294,7825914.61592536
86,0.339335065104294,7825914.61592536
87,0.339335065104294,7825914.61592536
88,0.339335065104294,7825914.61592536
89,0.339335065104294,7825914.61592536
90,0.339335065104294,7825914.61592536
91,0.339335065104294,7825914.61592536
92,0.339335065104294,7825914.61592536
93,0.339335065104294,7825914.61592536
94,0.339335065104294,7825914.61592536
95,0.339335065104294,7825914.61592536
96,0.339335065104294,7825914.61592536
97,0.339335065104294,7825914.61592536
98,0.339335065104294,7825914.61592536
99,0.339335065104294,7825914.61592536
100,0.339335065104294,7825914.61592536
