Alpha,R2_Score_Mean,R2_Score_Std,Best_Alpha
1e-06,0.5900640522270503,0.08859367738861351,0.03162277660168379
3.162277660168379e-06,0.5900642629932247,0.088593089510063,0.03162277660168379
1e-05,0.5900649294304803,0.08859123053024266,0.03162277660168379
3.1622776601683795e-05,0.5900670362510988,0.08858535247373718,0.03162277660168379
0.0001,0.5900736922140142,0.08856676996416224,0.03162277660168379
0.00031622776601683794,0.5900946763731122,0.08850806224034145,0.03162277660168379
0.001,0.5899573755621119,0.08829928454360349,0.03162277660168379
0.0031622776601683794,0.5901608663001345,0.08771696894825196,0.03162277660168379
0.01,0.5909630285582843,0.08591836872831062,0.03162277660168379
0.03162277660168379,0.5922268314092365,0.08075188015258264,0.03162277660168379
0.1,0.5911472241459544,0.06805159139684602,0.03162277660168379
0.31622776601683794,0.5641425711305439,0.05027437118495765,0.03162277660168379
1.0,0.4435573123950974,0.040039218997797305,0.03162277660168379
3.1622776601683795,0.24087779456381617,0.031940138090071096,0.03162277660168379
10.0,0.08634862392582446,0.02567802900662765,0.03162277660168379
